rok,kraj,strana_cislo,strana_nazev,kandidat_cislo,kandidat,kandidat_vek,navrhujici_strana,prislusnost,prednostni_hlasy_abs,prednostni_hlasy_pct,mandat,poradi
2013,Plzeňský kraj,23,SZ,9,Burdová Věra Mgr.,36,SZ,SZ,90,1.49,-,NA
2013,Plzeňský kraj,24,KČ,5,Bureš Jan Ing.,35,KČ,BEZPP,27,3.9,-,NA
2013,Plzeňský kraj,6,ODS,16,Buriánek Jan,45,ODS,ODS,368,1.31,-,15
2013,Plzeňský kraj,3,Piráti,19,Cimpa Miroslav Bc.,31,Piráti,Piráti,70,0.83,-,NA
2013,Plzeňský kraj,23,SZ,5,Cina Jan,24,SZ,SZ,89,1.47,-,NA
2013,Plzeňský kraj,21,KSČM,9,Cízlová Andrea,36,KSČM,KSČM,574,1.38,-,7
2013,Plzeňský kraj,13,Suveren.,13,Čarnogurský Jaroslav,64,Suveren.,BEZPP,7,0.83,-,NA
2013,Plzeňský kraj,23,SZ,12,Čedíková Kateřina Mgr.,31,SZ,SZ,111,1.83,-,NA
2013,Plzeňský kraj,10,SsČR,10,Čermák Jiří,55,SsČR,SsČR,24,2.64,-,NA
2013,Plzeňský kraj,13,Suveren.,5,Černá Kateřina Mgr.,36,Suveren.,BEZPP,13,1.54,-,NA
2013,Plzeňský kraj,23,SZ,2,Černík Roman MgA. Mgr.,49,SZ,SZ,558,9.24,-,NA
2013,Plzeňský kraj,1,ČSSD,18,Černý Michal Mgr.,37,ČSSD,ČSSD,1116,1.95,-,15
2013,Plzeňský kraj,15,SPOZ,5,Červenka Václav doc. MUDr. CSc.,72,SPOZ,SPOZ,109,4.32,-,NA
2013,Plzeňský kraj,4,TOP 09,5,Čížek Pavel Ing.,49,TOP 09,STAN,1700,5.72,-,1
2013,Plzeňský kraj,24,KČ,14,Čížková Lenka Bc.,44,KČ,BEZPP,16,2.31,-,NA
2013,Plzeňský kraj,13,Suveren.,7,Dolívková Jitka,49,Suveren.,BEZPP,29,3.45,-,NA
